1,Data1,10,100,800
2,Data2,10,200,900
3,Data3,10,300,1000
4,Data4,10,400,800
5,Data5,10,500,900
6,Data6,10,600,1000
7,Data7,10,700,800
8,Data8,10,800,900
9,Data9,10,900,1000
10,Data10,10,1000,800
11,Data11,10,1100,900
12,Data12,10,1200,1000
13,Data13,10,1300,800
14,Data14,10,1400,900
15,Data15,10,1500,1000
16,Data16,10,1600,800
17,Data17,10,1700,900
18,Data18,10,1800,1000
19,Data19,10,1900,800
20,Data20,10,2000,900
21,Data21,10,2100,1000
22,Data22,10,2200,800
23,Data23,10,2300,900
24,Data24,10,2400,1000
25,Data25,10,2500,800
26,Data26,10,2600,900
27,Data27,10,2700,1000
28,Data28,10,2800,800
29,Data29,10,2900,900
30,Data30,10,3000,1000
31,Data31,10,3100,800
32,Data32,10,3200,900
33,Data33,10,3300,1000
34,Data34,10,3400,800
35,Data35,10,3500,900
36,Data36,10,3600,1000
37,Data37,10,3700,800
38,Data38,10,3800,900
39,Data39,10,3900,1000
40,Data40,10,4000,1000
41,Data41,10,4100,801
42,Data42,10,4200,901
43,Data43,10,4300,1001
44,Data44,10,4400,801
45,Data45,10,4500,901
46,Data46,10,4600,1001
47,Data47,10,4700,801
48,Data48,10,4800,901
49,Data49,10,4900,1001
50,Data50,10,5000,801
51,Data51,10,5100,901
52,Data52,10,5200,1001
53,Data53,10,5300,801
54,Data54,10,5400,901
55,Data55,10,5500,1001
56,Data56,10,5600,801
57,Data57,10,5700,901
58,Data58,10,5800,1001
59,Data59,10,5900,801
60,Data60,10,6000,901
61,Data61,10,6100,1001
62,Data62,10,6200,801
63,Data63,10,6300,901
64,Data64,10,6400,1001
65,Data65,10,6500,801
66,Data66,10,6600,901
67,Data67,10,6700,1001
68,Data68,10,6800,801
69,Data69,10,6900,901
70,Data70,10,7000,1001
71,Data71,10,7100,801
72,Data72,10,7200,901
73,Data73,10,7300,1001
74,Data74,10,7400,801
75,Data75,10,7500,901
76,Data76,10,7600,1001
77,Data77,10,7700,801
78,Data78,10,7800,901
79,Data79,10,7900,1001
80,Data80,10,8000,1001
81,Data81,10,8100,802
82,Data82,10,8200,902
83,Data83,10,8300,1002
84,Data84,10,8400,802
85,Data85,10,8500,902
86,Data86,10,8600,1002
87,Data87,10,8700,802
88,Data88,10,8800,902
89,Data89,10,8900,1002
90,Data90,10,9000,802
91,Data91,10,9100,902
92,Data92,10,9200,1002
93,Data93,10,9300,802
94,Data94,10,9400,902
95,Data95,10,9500,1002
96,Data96,10,9600,802
97,Data97,10,9700,902
98,Data98,10,9800,1002
99,Data99,10,9900,802
100,Data100,10,10000,902
101,Data101,10,10100,1002
102,Data102,10,10200,802
103,Data103,10,10300,902
104,Data104,10,10400,1002
105,Data105,10,10500,802
106,Data106,10,10600,902
107,Data107,10,10700,1002
108,Data108,10,10800,802
109,Data109,10,10900,902
110,Data110,10,11000,1002
111,Data111,10,11100,802
112,Data112,10,11200,902
113,Data113,10,11300,1002
114,Data114,10,11400,802
115,Data115,10,11500,902
116,Data116,10,11600,1002
117,Data117,10,11700,802
118,Data118,10,11800,902
119,Data119,10,11900,1002
120,Data120,10,12000,1002
121,Data121,10,12100,803
122,Data122,10,12200,903
123,Data123,10,12300,1003
124,Data124,10,12400,803
125,Data125,10,12500,903
126,Data126,10,12600,1003
127,Data127,10,12700,803
128,Data128,10,12800,903
129,Data129,10,12900,1003
130,Data130,10,13000,803
131,Data131,10,13100,903
132,Data132,10,13200,1003
133,Data133,10,13300,803
134,Data134,10,13400,903
135,Data135,10,13500,1003
136,Data136,10,13600,803
137,Data137,10,13700,903
138,Data138,10,13800,1003
139,Data139,10,13900,803
140,Data140,10,14000,903
141,Data141,10,14100,1003
142,Data142,10,14200,803
143,Data143,10,14300,903
